Link Product Page,title,ID,image 1,image 2,image 3 ,image 4,image 5,image 6,image 7,image 8,image 9,image 10,image 11,image 12,image 13,image 14,image 15,image 16,image 17,image 18,image 19,image 20,image 21,image 22,image 23,image 24,image 25,image 26,image 27,image 28,image 29,image 30,image 31,image 32,image 33,image 34,image 35,image 36,image 37,image 40 ,,
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE0ODgzMjkwOTI5ODo6MDo6&url=%2FMothers-Necklace-Women%25EF%25BC%258CMothers-Remember-Daughters%2Fdp%2FB0BZQ1VGG8%2Fref%3Dsr_1_1_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Happy Mother's Day,Mom Necklace, Fashion Jewelry Gifts for Women，Mothers Day gifts， Remember I love you Mom ring key chain from Daughters and Sons",1,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41HOmRF63NL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31am1UQ-qHL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31WjU6JaUFL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41UUBkF3gtL._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTA5ODo6MDo6&url=%2FBracelet-Adjustable-Friendship-Fashion-Birthday%2Fdp%2FB0BX82DF2C%2Fref%3Dsr_1_2_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Women's Silver Bracelet Star Charm Bracelet Gifts for Women Adjustable Bangle girls, Ladies Friendship Bracelet, Fashion Jewelry Birthday Gifts for Women girls",2,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41B8Fb01+oL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41ahTbLUQLL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31s9N-h0cNL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41smzn-V8sL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41TgSByY0iL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41NnpCy5OmL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41iuJq0vFcL.SX38_SY50_CR,0,0,38,50_PKmb-play-button-overlay-thumb_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NDk5ODo6MDo6&url=%2FBracelets-Bracelet-Exquisite-Fashion-Birthday%2Fdp%2FB0C369YNNG%2Fref%3Dsr_1_3_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1%26smid%3DA1AYTBNTE0T6K9,"Women's Bracelets Women's Heart Bracelet, S925 Silver Bangle An Exquisite Bracelet Fashion Jewelry Birthday Wedding Gift for Girls Women Wife Mom",3,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41XwE2fpnoL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/514VQMLMnnL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41b9bSs8ElL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51d2Mb2iF1L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51AEqNcZsYL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41FxDoYI+zL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51edMeTekzL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41UBG1T2UYL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/41XwE2fpnoL._SX38_SY50_CR,0,0,38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTM5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BS12TPF6%2Fref%3Dsr_1_4_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Tennis Bracelets for Women White Cubic Zirconia Classic Adjustable Crystal Slider Plated Silver Bracelet Fashion Jewelry Wedding Gift for Girls Women Wife Mom,4,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/41I4PECBdDL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41uabnGRaBL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/412K7Xf71rL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31tiQCj-oRL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41ZWKPFyAuL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41bJqMj749L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/513VPqeopnL.SX38_SY50_CR,0,0,38,50_PKmb-play-button-overlay-thumb_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/DAIMANPU-Strong-Plating-Magnetic-Accessory/dp/B09C7ZGPLL/ref=sr_1_5?qid=1686556425&s=fashion&sr=1-5,DAIMANPU Strong Metal Plating Magnetic Hijab Clip Safe Hijab Brooch Luxury Accessory No Hole Pins Brooch Magnet for Muslim Scarf,5,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/31gqLSIsLcS._AC_US40_.jpg,https://m.media-amazon.com/images/I/413GK0jDNqS._AC_US40_.jpg,https://m.media-amazon.com/images/I/31A4V0Ou7TS._AC_US40_.jpg,https://m.media-amazon.com/images/I/31gqLSIsLcS._AC_US40_.jpg,https://m.media-amazon.com/images/I/31sc4tw+8+S._AC_US40_.jpg,https://m.media-amazon.com/images/I/41TaS4klfoS._AC_US40_.jpg,https://m.media-amazon.com/images/I/51OS+zAyUCS._AC_US40_.jpg,https://m.media-amazon.com/images/I/31gqLSIsLcS._SS36_.jpg,https://m.media-amazon.com/images/I/217Zmh0euFL._SS36_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Ricjurzzty-Bracelets-Natural-Stones-Jewelry/dp/B093XYXL8N/ref=sr_1_6?qid=1686556425&s=fashion&sr=1-6,Ricjurzzty 3 PCS Tiger Eye Stone Bracelets 8MM Natural Stones Beads Bracelets for Men Women Girls Jewelry,6,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/51NozVLw6mS._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41-ku1yrqeS._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41fmxkVvGMS._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/418y7iL0XXS._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/TALITARE-Adjuster-Loose-Rings-silicone/dp/B08L4NH4S3/ref=sr_1_7?qid=1686556425&s=fashion&sr=1-7,"TALITARE Ring Size Adjuster for Loose Rings (Pack of 8,8 Sizes) silicone",7,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/31DJZm0BqtL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41HeXqkpqtL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/511gO8OtSZL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41DMtRB6oDL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41jupaSG4oL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41SPslxpfjL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51ztbiV1nRL._AC_SR38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Swarovski-Elements-Sterling-Infinity-J-Ros%C3%A9e/dp/B08JHXQX46/ref=sr_1_8?qid=1686556425&s=fashion&sr=1-8,Swarovski Elements Crystal 18K Gold Plated 925 Sterling Silver Pendant Necklace and Studs Earrings J.Rosée Fashion Jewelry Sets for Women Ladies Girls Gift Package,8,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/31cANHuQzvL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41v4aH0g5nL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31gKB5uaL6L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31v2mcvIbEL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/51JTNKHigOL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/617bBFnKYxL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31cANHuQzvL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/41bxfuZrX9L._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51d+kt870FL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51-Gfs1Xo2L._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51UATSmpLeL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/41kWClqharL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51jaqIeyuiL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/413ocWzY-dL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/41a4YNOXxQL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51xqVYa3cWL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51XALblCbhL._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/51rjj0kRiHL._SX38_SY50_CR,0,0,38,50_.jpg",,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Youbella-Jewellery-Bohemian-Multi-Color-Earrings/dp/B01MU6O7H7/ref=sr_1_9?qid=1686556425&s=fashion&sr=1-9,Youbella Jewellery Bohemian Multi-Color Earrings For Girls And Women,9,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,https://m.media-amazon.com/images/I/51s3BawpRwS._AC_US40_.jpg,https://m.media-amazon.com/images/I/41L90QXNk5L._AC_US40_.jpg,https://m.media-amazon.com/images/I/51dLEaVsNNS._AC_US40_.jpg,https://m.media-amazon.com/images/I/51rMQ2WweJL._AC_US40_.jpg,https://m.media-amazon.com/images/I/51pHwbOk3sS._AC_US40_.jpg,https://m.media-amazon.com/images/I/31WUoApvKiS._AC_US40_.jpg,https://m.media-amazon.com/images/I/41ANpYWIA7L._AC_US40_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.amazon.ae/Infinity-Friendship-Adjustable-Bracelets-Jewellery/dp/B0B5MT69CW/ref=sr_1_10?qid=1686556425&s=fashion&sr=1-10,"Infinity Bracelet for Women, Silver Gold Plated Bracelet Cubic Zirconia Adjustable Love Heart Bracelets for Women Ladies Jewellery for mom Daughter Girls Gift",10,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif,"https://m.media-amazon.com/images/I/31y58pDF2kL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/31zYY1jxplL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/312kcSJ6aYL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41PMSMmP18L._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/41pFlUvbXEL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/419L33Z7olL._AC_SR38,50_.jpg","https://m.media-amazon.com/images/I/518mr7LnzKL.SX38_SY50_CR,0,0,38,50_PKmb-play-button-overlay-thumb_.jpg","https://m.media-amazon.com/images/I/41uYq5dWO0L._SX38_SY50_CR,0,0,38,50_.jpg","https://m.media-amazon.com/images/I/31y58pDF2kL._SX38_SY50_CR,0,0,38,50_.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
