Link Product Page,title,ID,Product Discription,Product Info
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE0ODgzMjkwOTI5ODo6MDo6&url=%2FMothers-Necklace-Women%25EF%25BC%258CMothers-Remember-Daughters%2Fdp%2FB0BZQ1VGG8%2Fref%3Dsr_1_1_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Happy Mother's Day,Mom Necklace, Fashion Jewelry Gifts for Women，Mothers Day gifts， Remember I love you Mom ring key chain from Daughters and Sons",1,"['Round Mom Green Necklace ✦designed with a round alloy plated necklace with  45cm+5cm. ONE perfct Mom Gifts for Mothers Day .She is going to place this where everyone can see it, forever!', 'Remember mom I love you Key chain: stainless steel oval key chain,one lovely mom gift from his beloved kids.', 'Graceful Jewelry Box ：one PU leather box to store your jewelry ,with the size :24x5.5x4cm', 'One Heartfelt Mom Gift. ✦ Reminds mom that her child loves her every day including Mother\'s Day. She will say, ""Awww, that is so sweet!""', 'Packages✦ The whole pack comes with a velvet jewelry box, storing 1pcs necklace and 1pcs of the oval ring key chain : remember mom I love you', 'After-Sale Service✦ Free Refund. If there is any problem with our product, don’t hesitate to contact us as soon as possible. We will do our best to satisfy you！', 'Style: Modern']",{}
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTA5ODo6MDo6&url=%2FBracelet-Adjustable-Friendship-Fashion-Birthday%2Fdp%2FB0BX82DF2C%2Fref%3Dsr_1_2_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Women's Silver Bracelet Star Charm Bracelet Gifts for Women Adjustable Bangle girls, Ladies Friendship Bracelet, Fashion Jewelry Birthday Gifts for Women girls",2,"['💕 【 Silver Bracelet for Women 】: Cute double-layered star bracelet design with 5 shiny silver stars and 8 beads surrounding. All the stars and pearls can be moved. looks beautiful, wear it alone or stackable with other bracelets, suitable for a lot of daily wear, make you charming and attractive on all occasions.', '💕 【 Adjust Length 】: 16 cm + 3.5 cm. Little stars move with you as your wrist movements catch the light. Suitable for all kinds of wrist wear and suitable for all ages making you elegant and sexy every moment.', '💕 【 High Quality Bracelet 】: This silver bracelet made of Silver plated with premium alloy, anti-oxidation, nickel and lead free, sturdy and durable. Never fade, rust and tarnish. Suitable for women and girls.', ""💕 【 Beautiful Gift 】: Wear this cute bracelet for girls to display your special taste. This also can be a perfect gift for lovers, your girfriend, ladies and any other people who love each other. It's also a Perfect jewelry gift for yourself."", '💕 【 Service and Guarantee 】: Excellent design,high quality and good price.If any of quality problem,please reach out to us,We offer premium after-sales service in 24-hour.']","{'Material': 'Pearl, Silver, Sterling Chain, Metal', 'Brand': 'Pptabold', 'Size': 'One Size', 'Metal type': 'Zinc', 'Item length': '7 Centimeters'}"
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NDk5ODo6MDo6&url=%2FBracelets-Bracelet-Exquisite-Fashion-Birthday%2Fdp%2FB0C369YNNG%2Fref%3Dsr_1_3_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1%26smid%3DA1AYTBNTE0T6K9,"Women's Bracelets Women's Heart Bracelet, S925 Silver Bangle An Exquisite Bracelet Fashion Jewelry Birthday Wedding Gift for Girls Women Wife Mom",3,"[""❤【 Design Concept 】 - A three-dimensional silver sweetheart and sparkling cubic zirconia are closely linked, adding elegance and sophistication to this women's bracelet. Also known as the 7 days bracelet, this bracelet is made up of 7 sparkling zirconia stones, meaning that I think of you every day from Monday to Sunday, with unique meaning. This bracelet is a vehicle for expressing love and can carry beautiful emotions between friends, mothers and daughters, and lovers."", ""❤【 Size and Material 】- This women's bracelet is made from 925 sterling silver and cubic zirconia, the sterling silver is non-allergenic and the zirconia stones are full and shiny. The bracelet comes with an extension chain to adjust the length at will to suit any size wrist. The total length is approximately 21.5 cm (17 cm + 4.5 cm) and the zirconia stones are available in silver, blue."", ""❤【 Occasion To Wear】 - This women's sterling silver bracelet has smooth edges and is comfortable to wear for everyday wear, making it a must-have piece of jewelry, or it can be worn for parties, dates and other occasions to add a glamorous brilliance. It is also a popular choice for friendship bracelets that can carry unforgettable memories of friendship."", ""❤【 A Gift For Women】- This 925 sterling silver bracelet has a unique design, elegant style and comes in a beautiful gift box. This bracelet makes a very unique gift for family, friends and yourself on Mother's Day, Valentine's Day, birthdays, graduations, Thanksgiving, anniversaries and Christmas."", '❤【 Attentive Service 】- We take responsibility for every item we sell. If you have any questions about our products or services, please contact us by email and we will solve your problem within 24 hours.']","{'Material': 'Silver, Cubic Zirconia, Sterling Silver', 'Colour': 'Silver Heart', 'Brand': 'Pptabold', 'Metal type': 'Silver', 'Item length': '7 Centimeters'}"
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTM5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BS12TPF6%2Fref%3Dsr_1_4_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Tennis Bracelets for Women White Cubic Zirconia Classic Adjustable Crystal Slider Plated Silver Bracelet Fashion Jewelry Wedding Gift for Girls Women Wife Mom,4,"['【 Classical and Timeless Bracelet】Are you seeking for a special gift to impress your girlfriend, wife or mom? Or if you want to add a touch of elegance to your outfits？Jewelry is always the ideal and wonderful choice', '【Tennis Bracelet】 This sterling silver bracelet is an updated yet classic design. With an adjustable clasp, this ladies bracelet features shimmering cubic zirconia stones', '【Slider Bracelet】 Add some sparkle to your look with an adjustable sliding bracelet. These slider bracelets for women can be easily adjusted to your wrist size with the innovative sliding clasp', '【Made for Giving】 Bracelets are presented in a luxurious boxes making it an ideal gift idea for Birthdays, Anniversaries, Mother’s Day or Christmas.', '【Made for Value】 Pptabold aims to make luxurious, elegant, and fashion forward bracelets available for all. Our sourcing experts strive to deliver high quality jewellery at affordable prices.']","{'Material': 'Cubic Zirconia, Sterling Silver, Crystal', 'Colour': 'Tennis Bracelet', 'Brand': 'Pptabold', 'Age range (description)': 'Adult', 'Size': 'One Size'}"
https://www.amazon.ae/DAIMANPU-Strong-Plating-Magnetic-Accessory/dp/B09C7ZGPLL/ref=sr_1_5?qid=1686556425&s=fashion&sr=1-5,DAIMANPU Strong Metal Plating Magnetic Hijab Clip Safe Hijab Brooch Luxury Accessory No Hole Pins Brooch Magnet for Muslim Scarf,5,"['❀High-quality snap brooch made of durable alloy.', ""❀It is very suitable for delicate and thin materials that you don't want to tear with a pin."", '❀It has no holes in your charming scarf, you can use it to match your clothes, hair, scarf or as a gift to your good friend.', '❀The magnetic brooch can fix clothes without damage.', '❀It is very suitable as a special gift for family, friend and yourself, so that you can get a beautiful feeling in your life.']",{}
https://www.amazon.ae/Ricjurzzty-Bracelets-Natural-Stones-Jewelry/dp/B093XYXL8N/ref=sr_1_6?qid=1686556425&s=fashion&sr=1-6,Ricjurzzty 3 PCS Tiger Eye Stone Bracelets 8MM Natural Stones Beads Bracelets for Men Women Girls Jewelry,6,"['Quantity: 3pc/pack.', '8MM Natural Stones Beads', 'Unisex, Good Matching for Men and Women', 'Tiger Eye Stone', 'High quality materials', 'Style: 波希米亚']","{'Material': 'Stone', 'Colour': 'Multi', 'Brand': 'Jury', 'Style': '波希米亚', 'Age range (description)': 'Adult'}"
https://www.amazon.ae/TALITARE-Adjuster-Loose-Rings-silicone/dp/B08L4NH4S3/ref=sr_1_7?qid=1686556425&s=fashion&sr=1-7,"TALITARE Ring Size Adjuster for Loose Rings (Pack of 8,8 Sizes) silicone",7,"['Designed to perfection', 'Compact construction', 'Seamless functionality', 'Packed with features']",{}
https://www.amazon.ae/Swarovski-Elements-Sterling-Infinity-J-Ros%C3%A9e/dp/B08JHXQX46/ref=sr_1_8?qid=1686556425&s=fashion&sr=1-8,Swarovski Elements Crystal 18K Gold Plated 925 Sterling Silver Pendant Necklace and Studs Earrings J.Rosée Fashion Jewelry Sets for Women Ladies Girls Gift Package,8,"['Material fine 925 sterling silver, plated by 18k gold, the earrings is proved to be body-safe after rigorous contact test. Without any harmful ingredients, it’s nickel-free, lead-free, cadmium-free and anti allergic', 'Crystals from swarovski truly in love heart with genuine crystals from swarovski. We purchased swarovski crystals as raw material and skillfully manufactured in our independent workshops', 'Design concept the whole design is simple and elegant. Suitable for most occasions. Good luck to your families and friends always the years, always the hours.for engagement and wedding', ""Perfect gifts for women with gift package comes in an exquisite box worthy of gift giving. A distinguish gift for valentine's day, christmas day, anniversary day and birthday gift to your girlfriend, wife, mom,friend and daughter. Suitable for attending parties, weddings or everyday wear. It's time to show her how much you care with this upcoming surprise"", 'Professional services if you have any questions, please do not hesitate to contact us, we will try our best to provide you with the most perfect solution.we are doing our best to provide you with the best service', 'Style: eternal']",{}
https://www.amazon.ae/Youbella-Jewellery-Bohemian-Multi-Color-Earrings/dp/B01MU6O7H7/ref=sr_1_9?qid=1686556425&s=fashion&sr=1-9,Youbella Jewellery Bohemian Multi-Color Earrings For Girls And Women,9,"['10.3886 cms (l) x 9.1948 cms (w) x 3.81 cms (h)', 'Color: multi-colour', 'Material: non precious metal', 'It is advisable to store jewellery in a zip lock pouch (air tight pouch), keep away from water perfume and other chemicals and clean it with dry and soft cloth', 'Country of origin: india', 'Color: multi-colour', 'Material: non precious metal', '', '']",{}
https://www.amazon.ae/Infinity-Friendship-Adjustable-Bracelets-Jewellery/dp/B0B5MT69CW/ref=sr_1_10?qid=1686556425&s=fashion&sr=1-10,"Infinity Bracelet for Women, Silver Gold Plated Bracelet Cubic Zirconia Adjustable Love Heart Bracelets for Women Ladies Jewellery for mom Daughter Girls Gift",10,"['❤【 Infinity Love Bracelet 】 – The infinity symbol is embellished with glittering white cubic zirconia to make it truly eye-catching. symbolic of never ending love & friendship, what a good way to express your emotion to others! suitable for daily wear and various parties, and easily attracts the attention of others.', '❤【 Adjustable Bracelet 】 – With an adjustable pull chain, the friendship bracelet can be adjusted from about 15-22cm, which can easily adjust the sliding fastening to fit your wrist. The sliding buckle has a smooth & strong grip and holds the girls bracelet tightly around your wrist without loosening with the movement.', '❤【 High-quality Material 】– silver plated and cubic zirconia, there are two colors to choose from: silver and rose gold, lead-free, nickel-free, and hypoallergenic. These are high-quality metals and will not harm your skin. You can use it with confidence. Come with fine gift box, you can send it directly to your special her, a unique present to express your forever love.', '❤【 Easy Matching 】 - Infinity bracelets for women, the must have timeless accessory in your jewelry collection. Elevate your style with these stylish and elegant design bracelets for women that easily paired with any attire for different occasions, ideal for daily wearing.', ""❤【 Ideal Gift Choice 】– sterling silver bracelet for womens are very popular, they look shining and catch more people's eyes. This womens bracelet can be use as Graduation/ Birthday/ Thanksgiving'Day/ Mother’s Day/ Valentines Day/ Anniversaries For sister mum girls women.""]","{'Material': 'Metal, Crystal', 'Colour': 'Silver', 'Brand': 'Pptabold', 'Size': 'One Size', 'Metal type': 'Silver'}"
