Link Product Page,title,ID,Stars out of 5,Reviewer Count
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE0ODgzMjkwOTI5ODo6MDo6&url=%2FMothers-Necklace-Women%25EF%25BC%258CMothers-Remember-Daughters%2Fdp%2FB0BZQ1VGG8%2Fref%3Dsr_1_1_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Happy Mother's Day,Mom Necklace, Fashion Jewelry Gifts for Women，Mothers Day gifts， Remember I love you Mom ring key chain from Daughters and Sons",1,No reviewer,No reviewer
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTA5ODo6MDo6&url=%2FBracelet-Adjustable-Friendship-Fashion-Birthday%2Fdp%2FB0BX82DF2C%2Fref%3Dsr_1_2_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,"Women's Silver Bracelet Star Charm Bracelet Gifts for Women Adjustable Bangle girls, Ladies Friendship Bracelet, Fashion Jewelry Birthday Gifts for Women girls",2,5,1
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NDk5ODo6MDo6&url=%2FBracelets-Bracelet-Exquisite-Fashion-Birthday%2Fdp%2FB0C369YNNG%2Fref%3Dsr_1_3_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1%26smid%3DA1AYTBNTE0T6K9,"Women's Bracelets Women's Heart Bracelet, S925 Silver Bangle An Exquisite Bracelet Fashion Jewelry Birthday Wedding Gift for Girls Women Wife Mom",3,No reviewer,No reviewer
https://www.amazon.ae/sspa/click?ie=UTF8&spc=MTo4NjY4MDMzOTU5MzcxMjM2OjE2ODY1NTY0MjU6c3BfYXRmX2Jyb3dzZToyMDE2NzA5Njc5NTM5ODo6MDo6&url=%2FBracelets-Zirconia-Classic-Adjustable-Bracelet%2Fdp%2FB0BS12TPF6%2Fref%3Dsr_1_4_sspa%3Fqid%3D1686556425%26s%3Dfashion%26sr%3D1-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,Tennis Bracelets for Women White Cubic Zirconia Classic Adjustable Crystal Slider Plated Silver Bracelet Fashion Jewelry Wedding Gift for Girls Women Wife Mom,4,3,2
https://www.amazon.ae/DAIMANPU-Strong-Plating-Magnetic-Accessory/dp/B09C7ZGPLL/ref=sr_1_5?qid=1686556425&s=fashion&sr=1-5,DAIMANPU Strong Metal Plating Magnetic Hijab Clip Safe Hijab Brooch Luxury Accessory No Hole Pins Brooch Magnet for Muslim Scarf,5,4.1,50
https://www.amazon.ae/Ricjurzzty-Bracelets-Natural-Stones-Jewelry/dp/B093XYXL8N/ref=sr_1_6?qid=1686556425&s=fashion&sr=1-6,Ricjurzzty 3 PCS Tiger Eye Stone Bracelets 8MM Natural Stones Beads Bracelets for Men Women Girls Jewelry,6,4.1,99
https://www.amazon.ae/TALITARE-Adjuster-Loose-Rings-silicone/dp/B08L4NH4S3/ref=sr_1_7?qid=1686556425&s=fashion&sr=1-7,"TALITARE Ring Size Adjuster for Loose Rings (Pack of 8,8 Sizes) silicone",7,3.7,33
https://www.amazon.ae/Swarovski-Elements-Sterling-Infinity-J-Ros%C3%A9e/dp/B08JHXQX46/ref=sr_1_8?qid=1686556425&s=fashion&sr=1-8,Swarovski Elements Crystal 18K Gold Plated 925 Sterling Silver Pendant Necklace and Studs Earrings J.Rosée Fashion Jewelry Sets for Women Ladies Girls Gift Package,8,4.2,118
https://www.amazon.ae/Youbella-Jewellery-Bohemian-Multi-Color-Earrings/dp/B01MU6O7H7/ref=sr_1_9?qid=1686556425&s=fashion&sr=1-9,Youbella Jewellery Bohemian Multi-Color Earrings For Girls And Women,9,4,"7,337"
https://www.amazon.ae/Infinity-Friendship-Adjustable-Bracelets-Jewellery/dp/B0B5MT69CW/ref=sr_1_10?qid=1686556425&s=fashion&sr=1-10,"Infinity Bracelet for Women, Silver Gold Plated Bracelet Cubic Zirconia Adjustable Love Heart Bracelets for Women Ladies Jewellery for mom Daughter Girls Gift",10,4,20
